,mean,median,std,min,max
life_expectancy_both_scaled,-7.886830229577615e-17,0.14230789107698244,0.9999999999999998,-2.7069638886919334,1.7094073699498862
LogGDPperCapita_scaled,-4.586495118123598e-16,0.09594139153378914,1.0,-2.4130032656997225,1.9572908351779181
LogPopulation_scaled,7.996032494294843e-16,0.08015205466796864,1.0,-2.2838860314680933,2.6666995912501332
