,life_expectancy_both,life_expectancy_female,life_expectancy_male,urban_population_percent,urban_population_absolute,population_density_km2,GDPperCapitaPPP,Population,TotalGDP,LogGDPperCapita,LogPopulation,life_expectancy_both_scaled,LogGDPperCapita_scaled,LogPopulation_scaled
Chad,55.4,57.4,53.5,22.4,4700984,17.0,1700.167,17828225,30310959813.574997,3.230491582329066,7.251108106435106,-2.621485735298866,-1.806016823771795,0.4307974145898064
Chile,81.5,83.4,79.7,84.8,16850412,27.0,29105.102,19456275,566276868415.0499,4.463969125626037,7.289059696066042,1.0968139372995698,0.6253170379119517,0.4753846959633438
China,78.4,81.2,75.7,67.5,956553854,151.0,20406.73,1426437224,29108919292117.52,4.309773418398947,9.154252663570873,0.6551768114353885,0.32137859465061713,2.6666995912501332
Colombia,78.1,80.8,75.4,80.5,43010759,48.0,17700.06,51188120,906032795287.2001,4.247974738543996,7.709169179391636,0.6124377347388532,0.19956590032536514,0.9689487316964062
Comoros,67.2,69.4,65.2,33.6,296345,474.0,3441.2117,818133,2815368851.7560997,3.536711390817305,5.9128239106039135,-0.9404153852352048,-1.2024204360291144,-1.1414807054456213
Congo,66.2,67.9,64.5,69.8,4524254,19.0,6263.2114,5892137,36903699628.7618,3.7967970705395713,6.7702728362107,-1.0828789742236506,-0.689760012266917,-0.1341100819420564
Costa Rica,81.2,83.7,78.6,85.2,4390911,101.0,24140.434,5059939,122149123473.526,4.382745073636676,6.704145281242352,1.0540748606030363,0.4652145787645875,-0.21179978950346054
Côte d'Ivoire,62.3,64.5,60.3,59.525786163522014,16021559,103.0,6045.2046,29639680,179177929878.528,3.7814110041458897,7.471873510542634,-1.63848697127859,-0.7200878154963803,0.6901628136734166
Croatia,78.9,82.0,75.8,61.7,2374884,69.0,36914.113,3924558,144871577487.054,4.567192437330241,6.593790751789512,0.7264086059296114,0.8287827065213258,-0.34144939057174595
Curaçao,77.2,81.1,72.9,80.8,149822,418.0,25163.994,185279,4662359644.326,4.400779572961578,5.267826198050937,0.48422050464925315,0.5007627645628829,-1.8992538257432048
Cyprus,82.0,83.9,80.0,61.1,838047,148.0,49929.84,1317269,65771030406.96,4.698360174362171,6.11967447145864,1.1680457317937927,1.087330227178846,-0.8984631072687642
Czech Republic (Czechia),80.1,82.9,77.3,59.525786163522014,7952770,137.0,49995.703,10530619,526485699930.15704,4.698932679464371,7.022453900186735,0.8973649127157448,1.0884587041815528,0.1621638861821162
Denmark,82.2,84.1,80.4,87.4,5248366,141.0,70342.32,5856724,411975553759.68005,4.847216687930061,6.767654758243205,1.1965384495914821,1.380744472080637,-0.13718592092876886
Djibouti,66.4,69.0,63.9,71.3,843657,51.0,5947.861,1121203,6668759596.783,3.774360810616837,6.049684251130437,-1.0543862564259612,-0.7339846021478765,-0.9806908526021421
Dominican Republic,74.0,77.2,70.8,86.4,9950299,238.0,21912.26,11123434,243739577900.84,4.3406871723992175,7.046238882301928,0.028337019886226195,0.3823133536991833,0.19010758235789366
DR Congo,62.2,64.4,60.1,59.525786163522014,50722858,50.0,1313.6182,99148879,130243771963.99779,3.118469156907533,7.996287808335912,-1.6527333301774338,-2.0268266128720587,1.3062689657318065
Ecuador,77.8,80.5,75.1,59.525786163522014,12062680,74.0,13539.711,17682398,239414558706.978,4.131609394596928,7.247541161556412,0.5696986580423198,-0.029804307995376395,0.4266068029053722
Egypt,72.0,74.2,69.8,40.9,48427431,119.0,15579.016,110956950,1728600099361.2,4.1925400233451535,8.045154510282469,-0.25659015809066543,0.09029735230179528,1.3636798254790854
El Salvador,72.5,76.7,68.0,79.9,5085472,307.0,10809.714,6255737,67622727829.218,4.033814203679032,6.796278482083492,-0.1853583635964425,-0.22257049209059812,-0.10355744735924594
Equatorial Guinea,64.1,66.1,62.4,63.6,1232213,69.0,16821.45,1758752,29584758830.4,4.225863429027703,6.245204604309736,-1.382052511099388,0.1559818271127808,-0.7509845060107293
Estonia,79.5,83.3,75.4,66.9,899102,32.0,45063.543,1331699,60011075149.557,4.653825333967029,6.124406073624548,0.8118867593226781,0.9995466545748641,-0.8929042023804429
Eswatini,64.4,67.3,61.4,31.3,392638,73.0,9846.207,1206548,11879921363.436,3.9932689618463204,6.081544604090197,-1.3393134344028528,-0.3024900819799578,-0.9432598375671607
Ethiopia,67.9,71.3,64.6,22.5,30487323,135.0,2588.413,122138537,316144976971.781,3.413033572348627,8.086852713624213,-0.8406908729432924,-1.4462044186530085,1.4126688017841462
Fiji,67.6,69.7,65.6,60.8,567088,51.0,10685.197,916669,9794788848.793,4.0287825335402605,5.962212544586056,-0.8834299496398277,-0.23248852428802216,-1.0834566558226395
Finland,82.2,84.9,79.6,86.7,4874169,19.0,57350.87,5541019,317782260336.53,4.7585400104383915,6.743589639346154,1.1965384495914821,1.2059519840465063,-0.16545873474197023
France,83.6,86.3,80.7,82.5,55018724,122.0,53901.11,66083491,3561973517575.0103,4.731597708821455,7.820092977441706,1.395987474175305,1.152845439392386,1.0992671358206019
Gabon,68.7,71.4,66.2,83.7,2171202,10.0,18523.58,2376684,44024696208.72,4.267724925326052,6.3759714424857385,-0.7267200017525361,0.23849591421879995,-0.597353581330605
Gambia,66.3,68.0,64.5,61.3,1731095,279.0,2777.7961,2575965,7155505530.7365,3.443700363829668,6.410939957907444,-1.068632615324807,-1.3857564526870016,-0.5562709533963184
Georgia,74.8,79.4,69.9,59.525786163522014,2358908,55.0,18915.654,3788400,71660063613.59999,4.27682136141946,6.578455827939842,0.14230789107698244,0.2564260931788724,-0.3594655677905693
Germany,81.7,84.0,79.4,76.5,64345635,241.0,62950.047,83697031,5268732035210.457,4.7989960586985765,7.922710052459372,1.1253066550972592,1.2856957625850167,1.2198264178437321
Ghana,65.9,68.4,63.5,58.6,20539206,154.0,6607.503,32518607,214866793308.32098,3.820037368986215,7.512131933441997,-1.125618050920184,-0.6439505649234909,0.7374602693774999
Greece,82.2,84.6,79.7,89.5,8897137,77.0,33577.51,10579511,355233636397.61005,4.526048487116048,7.024465594456294,1.1965384495914821,0.7476829897872754,0.1645273175773912
Grenada,75.5,78.6,72.7,35.5,41685,345.0,15298.123,116645,1784449557.335,4.184638148415697,5.066866127450825,0.2420324033688949,0.07472179829906492,-2.1353510037488737
Guatemala,72.9,75.2,70.6,56.6,10568383,174.0,11828.33,17598598,208162024681.34,4.072923432457039,7.245478070932538,-0.12837292800106337,-0.14548145812396046,0.4241829886978437
Guinea,61.1,62.3,59.8,40.3,6082701,61.0,3738.8052,13710470,51260776530.444,3.572732838042967,7.137052342820718,-1.8094432780647245,-1.1314177940576104,0.2967994325816148
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80.0,2450.978,2058795,5046061251.51,3.389339413038499,6.313613104849627,-1.3393134344028528,-1.492908480812796,-0.6706150381814391
Guyana,70.4,74.2,66.7,26.6,222762,4.0,22865.932,815445,18645909919.74,4.359188907628273,5.911394674141442,-0.48453190047217787,0.4187825181414243,-1.143159838491727
Haiti,65.3,68.7,62.1,61.7,7343428,432.0,3134.9502,11374546,35658635257.6092,3.4962306462713664,7.055934071383689,-1.2110962043132527,-1.2822128939425654,0.20149793853959477
Honduras,73.2,75.9,70.6,58.3,6421078,98.0,6202.981,10289829,63827613780.249,3.792600450904158,7.012408157563844,-0.08563385130453004,-0.6980320586285508,0.15036168349999532
Hong Kong,85.8,88.4,83.1,59.525786163522014,0,142.7159090909091,65884.94,7484547,493118930022.18,4.8187861547707564,6.874165519929057,1.7094073699498862,1.3247044425303809,-0.012052155867035036
Hungary,77.3,80.5,74.1,59.525786163522014,6937818,106.0,38648.0,9707794,375186822512.0,4.587127024478463,6.987120552001421,0.49846686354809694,0.8680761959046913,0.12065263585694876
Iceland,83.2,84.6,81.8,59.525786163522014,334395,4.0,62032.27,372597,23113037705.19,4.7926176739657995,5.571239353811188,1.339002038579928,1.2731231925630315,-1.542790028577571
India,72.5,74.1,71.0,37.1,542742539,492.0,8050.0186,1414203840,11384367216191.424,3.9057968838297357,9.150512012153156,-0.1853583635964425,-0.47490815832783156,2.6623049010960718
Indonesia,71.4,73.6,69.3,59.6,170361295,158.0,12757.074,276758010,3530622413662.74,4.105751074747691,8.442100199192888,-0.34206831148373207,-0.08077419309571725,1.830029965053598
Iran,78.1,80.0,76.2,73.3,67760281,57.0,14951.895,88455443,1322576495914.485,4.174696238539267,7.946724561860041,0.6124377347388532,0.055125087954617215,1.2480397732817416
Iraq,72.5,74.3,70.6,72.4,34038857,108.0,12731.754,43071162,548371439078.148,4.104888238692707,7.634186588581279,-0.1853583635964425,-0.08247494762421641,0.8808557188057692
Ireland,82.7,84.7,80.8,62.1,3294830,77.0,118102.766,5028387,593866413218.442,5.072260069031549,6.701428694928134,1.267770244085705,1.8243322745446793,-0.21499136064831728
Israel,82.8,84.8,80.7,91.4,8698204,440.0,46238.223,8942868,413502324843.56396,4.665001135184884,6.951476820454329,1.2820166029845488,1.0215755144273018,0.07877673281446995
Italy,84.0,86.0,81.9,59.525786163522014,42568771,201.0,50465.086,59729300,3014244261219.8003,4.702991017692176,7.776187425044766,1.4529729097706843,1.096458181114917,1.0476848638362097
Jamaica,71.7,74.3,69.2,60.2,1706544,262.0,9577.164,2837634,27176486189.976,3.9812369243715726,6.452956379130338,-0.29932923478719875,-0.32620668735828445,-0.5069081200185256
Japan,85.0,88.0,82.0,93.1,114645589,338.0,44549.34,125679288,5598929332069.92,4.648841274332909,8.099263711667922,1.59543649875913,0.989722468457381,1.4272498158413336
Jordan,78.1,80.5,76.1,85.1,9802267,130.0,9182.496,11066310,101616347309.76,3.9629607478337423,7.044002831918587,0.6124377347388532,-0.3622312482593001,0.18748056703186997
Kazakhstan,74.7,78.6,70.4,55.1,11494249,8.0,32945.85,19743565,650468530955.25,4.517800716787108,7.295425573867492,0.12806153217813865,0.731425633994204,0.48286362339386807
Kenya,64.0,66.3,61.8,31.9,18371967,101.0,5338.8525,53219122,284129042537.505,3.727447922483501,7.726067705358164,-1.3962988699982317,-0.8264555953068499,0.9888019009416138
Kiribati,66.7,68.5,64.8,57.3,78192,169.0,3049.4739,128346,391387777.1694,3.484224920646832,5.108382338102923,-1.0116471797294277,-1.30587763547243,-2.0865758408661246
Kuwait,80.8,82.1,79.6,91.6,4602914,282.0,50689.043,4360703,221039861877.229,4.704914091899224,6.639556508628594,0.9970894250076572,1.1002487936506178,-0.2876816644422002
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38.0,5736.479,6820433,39125270675.407005,3.758645408066192,6.83381194702324,-0.25659015809066543,-0.7649615668919967,-0.05946139819591403
Laos,69.5,71.8,67.3,38.3,3018824,34.0,8080.4355,7453143,60224641283.7765,3.907434767971368,6.872339453917105,-0.6127491305617799,-0.4716796900053183,-0.014197502606745245
Latvia,76.5,80.7,71.9,67.5,1250246,30.0,35604.9,1885546,67134676775.4,4.551509770347099,6.275437131969683,0.38449599235734067,0.7978702675516594,-0.7154659353654422
Lebanon,78.1,80.0,76.0,59.525786163522014,5032693,572.0,11599.775,5718083,66328476231.325,4.06444956532984,6.757250455005948,0.6124377347388532,-0.1621844781324968,-0.14940937719098243
Lesotho,58.2,60.9,55.4,32.8,774177,78.0,2544.7825,2261496,5755015444.62,3.4056506695465067,6.354395823928295,-2.222587686131217,-1.4607570156401701,-0.6227016150963555
Liberia,62.5,63.8,61.1,59.525786163522014,3150252,60.0,1539.2089,5259278,8095127505.1742,3.187297565874685,6.720926127777705,-1.6099942534809004,-1.8911574697433102,-0.19208487549237346
Libya,73.2,75.3,71.2,77.5,5780434,4.0,12641.51,7135138,90198918378.38,4.1017989525460585,6.8534023771786154,-0.08563385130453004,-0.08856430535723285,-0.036445655507382664
Lithuania,76.3,80.9,71.6,68.2,1929035,45.0,46575.69,2794443,130153110890.67001,4.668159297512946,6.44629525546635,0.35600327455965114,1.0278006354687335,-0.5147339159326987
Luxembourg,82.5,84.1,80.9,87.2,593272,263.0,137947.34,640233,88318439330.22,5.139713330516837,5.806338055544667,1.2392775262880156,1.9572908351779181,-1.266585209051398
Macao,83.4,85.5,81.3,97.1,701381,142.7159090909091,74177.78,694363,51506305854.14,4.870273831578504,5.8415865708609065,1.3674947563776174,1.426192899099684,-1.2251736243012423
Madagascar,64.0,65.8,62.3,40.3,13199949,56.0,1599.4127,29691033,47488215256.3191,3.2039605401731923,7.472625307680096,-1.3962988699982317,-1.8583127261413808,0.6910460596936706
Malawi,67.7,71.0,64.4,19.8,4407124,236.0,1687.5936,20047218,33831556794.604797,3.2272678697022856,7.302054113062053,-0.869183590740982,-1.8123711524034123,0.4906511375675169
Malaysia,77.0,79.7,74.6,77.4,27844592,110.0,29822.85,34282367,1022397888685.95,4.474549144151506,7.535070799819129,0.4557277868515636,0.6461715378077973,0.7644099096822496
Maldives,81.5,83.2,80.2,39.6,209810,142.7159090909091,19052.623,516123,9833496940.629,4.279954774027805,5.712753212975233,1.0968139372995698,0.2626024295205415,-1.3765330069834305
Mali,60.9,62.4,59.5,44.4,11190626,21.0,2347.6274,22388587,52560060288.483795,3.370629169677522,7.350026685027567,-1.837935995862414,-1.529788640075602,0.5470115320922059
