,life_expectancy_both,life_expectancy_female,life_expectancy_male,urban_population_percent,urban_population_absolute,population_density_km2,GDPperCapitaPPP,Population,TotalGDP,LogGDPperCapita,LogPopulation,life_expectancy_both_scaled,LogGDPperCapita_scaled,LogPopulation_scaled
Solomon Islands,70.8,72.3,69.5,22.8,190885,30.0,2518.4216,762546,1920412317.3936,3.401128435552136,5.8822660472891055,-0.42754646487680076,-1.4696708874011282,-1.1773814954531319
Somalia,59.1,61.7,56.6,46.6,9168559,31.0,1392.4642,17271386,24049786689.3812,3.143784038357569,7.237327190375753,-2.094370456041616,-1.9769279107769502,0.4146069575391582
South Africa,66.5,70.0,63.0,66.6,43112579,53.0,13711.294,61502553,843279585933.582,4.137078443158624,7.788893143918498,-1.0401398975271172,-0.019024149871294225,1.0626121295445845
South Korea,84.5,87.4,81.4,82.4,42587468,531.0,48571.434,51848358,2518349098605.372,4.686380925566791,7.714735007150691,1.5242047042649072,1.0637176746909494,0.9754877233640263
Spain,84.0,86.6,81.3,79.3,37995950,96.0,44091.11,47735610,2104716031427.1,4.644351032389643,7.678842476664015,1.4529729097706843,0.9808716569098644,0.933319519829459
Sri Lanka,77.9,80.9,74.7,18.1,4193316,370.0,14316.135,22700326,324980931560.01,4.155825785099261,7.356032094152791,0.5839450169411656,0.017929135192170063,0.5540669642633876
State of Palestine,73.1,76.9,69.7,84.2,4707958,929.0,5663.1216,5185289,29364922138.142403,3.7530558870091917,6.714772966628155,-0.09988021020337584,-0.775979190917931,-0.19931389356986842
Sudan,66.7,70.0,63.6,35.3,18220482,29.0,3248.9756,48066876,156168107292.22562,3.5117464497798396,7.681845897039204,-1.0116471797294277,-1.2516293631224182,0.9368480768847447
Suriname,73.9,77.1,70.7,62.4,399428,4.0,18458.234,617863,11404659833.942,4.266190147353832,5.790892188778336,0.014090660987382424,0.2354706806632304,-1.2847317271357737
Sweden,83.6,85.3,81.8,87.4,9309134,26.0,63124.598,10416075,657510547112.85,4.800198625393052,7.0177040983332635,1.395987474175305,1.2880661674141116,0.15658359945977365
Switzerland,84.2,86.1,82.3,74.4,6668094,227.0,81603.21,8706973,710516946183.3301,4.911707242796352,6.939867197730534,1.4814656275683737,1.507863178584267,0.06513721151746159
Syria,73.0,75.4,70.6,53.6,13735765,140.0,4592.8384,21628791,99337541850.37439,3.662081164942647,7.335032244048281,-0.1141265691022196,-0.9553014035675735,0.5293953698844088
Tajikistan,72.1,74.3,69.8,27.7,2987515,77.0,3985.9126,9966868,39727064743.7368,3.600527771596314,6.99855870655519,-0.24234379919182164,-1.0766306084304842,0.13409070842367013
Tanzania,67.4,70.2,64.6,59.525786163522014,28244987,80.0,3493.083,62830365,219471679865.295,3.543208905137716,7.798169582667164,-0.9119226674375153,-1.1896130471391928,1.0735105184830545
Thailand,76.8,81.2,72.6,53.5,38343775,140.0,20245.242,71727293,1452136404789.9058,4.306322972442366,7.855684440798541,0.42723506905387404,0.3145773471226552,1.141081631777672
Timor-Leste,68.1,69.9,66.5,59.525786163522014,510529,95.0,6824.7925,1350102,9214166003.835,3.834089451687164,6.1303665806163075,-0.8121981551456048,-0.6162522053678906,-0.8859015233107396
Togo,63.1,63.4,62.9,44.2,4295574,179.0,2577.202,8878342,22881280759.084003,3.411148459702334,6.948331870341528,-1.524516100087833,-1.4499202043476311,0.07508190008285545
Tonga,73.2,76.7,69.6,59.525786163522014,26950,144.0,7034.925,105450,741832841.25,3.8472594717409465,5.023046584075505,-0.08563385130453004,-0.5902924982862144,-2.18683222835989
Trinidad and Tobago,73.7,77.0,70.6,49.1,741616,295.0,30826.209,1487659,45858887254.730995,4.488920118576189,6.172503393985348,-0.01440205681030714,0.6744984716332232,-0.8363972476759134
Tunisia,76.9,79.5,74.3,71.7,8853818,79.0,12375.343,12048573,149105223535.539,4.092557244853519,7.080935613307213,0.44148142795271983,-0.106780832260994,0.2308709053996653
Turkey,77.8,80.8,74.9,76.9,67446349,114.0,31637.53,86686206,2742537442911.1797,4.500202569982298,7.937949995576651,0.5696986580423198,0.6967375519436367,1.237731007308752
Turkmenistan,70.3,73.2,67.1,46.5,3540511,16.0,16434.14,7091984,116550657933.76,4.21574698234361,6.850767747131989,-0.49877825937102366,0.136041083548688,-0.03954094064158782
U.S. Virgin Islands,75.9,81.6,70.9,59.525786163522014,0,240.0,46893.55,87184,4088367263.2000003,4.6711131115414,4.9404367905600335,0.29901783896427403,1.033622961223689,-2.2838860314680933
Uganda,68.7,71.6,65.7,59.525786163522014,15430672,257.0,2684.9204,45910886,123267074403.4744,3.4289314146712537,7.661915673972688,-0.7267200017525361,-1.4148678429879216,0.9134331297811917
Ukraine,74.9,79.5,70.0,76.8,29923619,67.0,17846.408,44298591,790570728811.1279,4.251550817492471,7.646389912889965,0.15655424997582823,0.20661478571993988,0.895192748161724
United Arab Emirates,83.2,84.4,82.4,81.1,9207088,136.0,67401.125,9789001,659789680026.125,4.828667145455419,6.990738372873096,1.339002038579928,1.3441810737582076,0.12490301900909406
United Kingdom,81.6,83.4,79.7,84.5,58798650,287.0,52872.195,67668749,3577795292534.055,4.7232273406037075,7.830388147705297,1.1110602961984135,1.1363464282890516,1.111362377621937
United States,79.6,82.1,77.2,82.8,287421363,38.0,71318.305,340161392,24259733903880.56,4.853201012883933,8.531685020055932,0.8261331182215219,1.3925403024779854,1.9352783526300315
Uruguay,78.5,82.2,74.6,59.525786163522014,0,19.0,29441.477,3396643,100002186761.711,4.468959593602265,6.531049903279341,0.6694231703342323,0.6351538556490783,-0.41516023887458364
Uzbekistan,72.7,75.7,69.7,48.1,17835913,87.0,9247.644,34243658,316673158441.752,3.966031102671236,7.534580150992261,-0.15686564579875295,-0.35617920643304224,0.7638334727658543
Vanuatu,71.8,74.3,69.7,25.4,85244,27.0,3135.8367,305836,959051752.9812,3.4963534385355306,5.48548860495183,-0.28508287588835496,-1.2819708554948956,-1.6435339711782555
Vietnam,74.9,79.5,70.2,41.4,42039428,328.0,12048.902,98935054,1192058770010.708,4.080947472050467,7.995350195150873,0.15655424997582823,-0.12966510274966944,1.3051674144316532
Zambia,66.7,69.1,64.3,46.8,10256668,29.0,3503.035,19603556,68671942792.46,3.5444444765214977,7.292334857637082,-1.0116471797294277,-1.187177586063925,0.47923250713362225
Zimbabwe,63.3,65.6,60.8,37.9,6429761,44.0,3184.7854,15797165,50310580453.39101,3.5030801736460084,7.198579154338664,-1.4960233822901443,-1.2687116446227087,0.3690839741211102
